A1,A2,A3,A4,A5
Jett,KAY/O,Killjoy,Omen,Sova
Chamber,Jett,KAY/O,Omen,Sova
Astra,Jett,KAY/O,Killjoy,Sova
Jett,Killjoy,Omen,Sage,Sova
Chamber,KAY/O,Omen,Raze,Sova
Cypher,Jett,KAY/O,Omen,Sova
Breach,Chamber,Omen,Raze,Sova
Astra,Chamber,Jett,KAY/O,Sova
Astra,Jett,Killjoy,Sage,Sova
Brimstone,Cypher,Jett,KAY/O,Sova
Chamber,KAY/O,Neon,Omen,Sova
Breach,Jett,Killjoy,Omen,Sova
Breach,Killjoy,Neon,Omen,Sova
Brimstone,KAY/O,Killjoy,Sage,Sova
Chamber,Jett,Omen,Skye,Sova
Astra,Breach,Chamber,Neon,Sova
Brimstone,Jett,KAY/O,Killjoy,Sova
Brimstone,Killjoy,Neon,Sage,Skye
Chamber,Jett,Omen,Reyna,Sova
Jett,Killjoy,Omen,Phoenix,Sova
Jett,Killjoy,Omen,Reyna,Sova
KAY/O,Killjoy,Omen,Sova,Yoru
Astra,Breach,KAY/O,Neon,Skye
Astra,Chamber,Jett,Skye,Sova
Astra,Chamber,Jett,Sova,Viper
Astra,Jett,Killjoy,Reyna,Sova
Astra,KAY/O,Killjoy,Raze,Sova
Astra,KAY/O,Killjoy,Sova,Yoru
Astra,Killjoy,Raze,Reyna,Sova
Breach,Chamber,Jett,Omen,Sova
Breach,Jett,Omen,Sova,Viper
Brimstone,Chamber,Jett,Reyna,Sova
Brimstone,Chamber,KAY/O,Killjoy,Sova
Brimstone,KAY/O,Killjoy,Raze,Sova
Brimstone,Killjoy,Raze,Reyna,Sova
Chamber,Cypher,Omen,Reyna,Sova
Chamber,Jett,KAY/O,Omen,Sage
Chamber,Jett,Omen,Phoenix,Sova
Chamber,Jett,Omen,Raze,Sova
Chamber,Jett,Omen,Sage,Sova
Chamber,KAY/O,Omen,Raze,Skye
Cypher,Jett,Omen,Sage,Sova
Fade,Jett,KAY/O,Killjoy,Omen
Jett,Killjoy,Omen,Skye,Sova
KAY/O,Killjoy,Neon,Omen,Sova
KAY/O,Killjoy,Omen,Raze,Sova
Astra,Jett,KAY/O,Sage,Sova
Jett,Killjoy,Omen,Raze,Sova
Killjoy,Neon,Omen,Sage,Sova
Astra,Fade,Jett,Killjoy,Sova
Astra,Chamber,KAY/O,Raze,Sova
Breach,Brimstone,Chamber,Jett,Sova
Breach,Jett,Killjoy,Omen,Skye
Breach,Brimstone,Chamber,Fade,Neon
Astra,Fade,Jett,KAY/O,Killjoy
Chamber,KAY/O,Omen,Sova,Yoru
Brimstone,Chamber,Fade,Jett,Sova
Astra,Jett,KAY/O,Sova,Viper
Astra,Breach,Jett,Killjoy,Sova
Cypher,Omen,Reyna,Skye,Viper
Killjoy,Neon,Omen,Reyna,Sova
Killjoy,Omen,Reyna,Sage,Sova
Chamber,KAY/O,Omen,Reyna,Sova
Brimstone,Jett,Killjoy,Reyna,Sova
Chamber,Jett,Killjoy,Omen,Sova
Chamber,Cypher,Jett,Omen,Sova
Brimstone,Chamber,Jett,KAY/O,Sova
Astra,Chamber,Fade,KAY/O,Yoru
Jett,KAY/O,Omen,Raze,Sova
Astra,Breach,Chamber,Jett,Sova
Astra,Chamber,Jett,Reyna,Sova
Breach,Cypher,Jett,Omen,Sova
Killjoy,Omen,Raze,Reyna,Sova
Killjoy,Omen,Raze,Skye,Sova
Astra,Breach,Chamber,Raze,Sova
Astra,Chamber,Raze,Sage,Skye
Astra,Jett,Killjoy,Skye,Sova
Breach,Brimstone,Jett,Killjoy,Skye
Breach,Brimstone,Jett,Killjoy,Sova
Brimstone,Cypher,Jett,Raze,Sova
Chamber,Jett,Omen,Reyna,Skye
Chamber,KAY/O,Neon,Omen,Skye
Chamber,KAY/O,Omen,Skye,Sova
Chamber,Omen,Raze,Skye,Sova
Cypher,KAY/O,Neon,Omen,Sova
Jett,KAY/O,Omen,Sova,Yoru
Chamber,Fade,KAY/O,Omen,Sage
Breach,Killjoy,Omen,Raze,Sova
Astra,Chamber,KAY/O,Sova,Yoru
Breach,Chamber,KAY/O,Neon,Omen
Brimstone,Fade,KAY/O,Killjoy,Raze
Chamber,Cypher,Omen,Raze,Sova
Chamber,Fade,Jett,KAY/O,Omen
Chamber,Fade,KAY/O,Omen,Raze
Chamber,KAY/O,Omen,Sage,Sova
Fade,Killjoy,Omen,Raze,Sova
Astra,Breach,Fade,Jett,Killjoy
Breach,Cypher,Fade,Omen,Raze
Chamber,Fade,KAY/O,Omen,Sova
Fade,KAY/O,Neon,Omen,Sage
Astra,Cypher,Jett,KAY/O,Sova
Astra,Fade,KAY/O,Killjoy,Yoru
Fade,KAY/O,Killjoy,Omen,Raze
Astra,Chamber,Fade,Raze,Sova
Astra,Chamber,Fade,Jett,Sova
Astra,Fade,Killjoy,Neon,Skye
Astra,Breach,Cypher,Jett,Sova
Astra,Breach,Chamber,KAY/O,Omen
Astra,Chamber,Fade,Jett,KAY/O
Cypher,Jett,Omen,Skye,Sova
Chamber,Fade,Jett,Omen,Sova
Fade,Jett,Killjoy,Omen,Sova
Astra,Chamber,Fade,KAY/O,Sova
Astra,Chamber,KAY/O,Sage,Sova
Cypher,Fade,Jett,Omen,Phoenix
