A1,A2,A3,A4,A5
Breach,Chamber,Fade,Omen,Raze
Jett,KAY/O,Killjoy,Omen,Sova
Fade,Jett,KAY/O,Killjoy,Omen
Astra,Chamber,Fade,KAY/O,Raze
Astra,Breach,Chamber,Fade,Raze
Chamber,Fade,KAY/O,Omen,Raze
Chamber,Fade,Jett,KAY/O,Omen
Breach,Chamber,Jett,Omen,Sova
Astra,Jett,KAY/O,Killjoy,Sova
Breach,Fade,Jett,Killjoy,Omen
Astra,Chamber,Fade,Raze,Sage
Astra,Fade,Jett,KAY/O,Killjoy
Breach,Chamber,Omen,Raze,Sova
Chamber,Jett,KAY/O,Omen,Sova
Astra,Chamber,Fade,Jett,KAY/O
Astra,Breach,Chamber,Fade,Neon
Brimstone,Chamber,Raze,Sage,Skye
Chamber,Fade,KAY/O,Omen,Sage
Astra,Chamber,Jett,KAY/O,Sova
Chamber,Fade,Omen,Raze,Sage
Chamber,Fade,Omen,Raze,Skye
Fade,KAY/O,Killjoy,Omen,Raze
Breach,Chamber,Fade,Jett,Omen
Astra,Chamber,Fade,KAY/O,Sage
Astra,Chamber,Fade,KAY/O,Sova
Chamber,Fade,KAY/O,Omen,Phoenix
Astra,Breach,Fade,Killjoy,Neon
Astra,Breach,Jett,Killjoy,Sova
Astra,Fade,Jett,KAY/O,Sova
Breach,Fade,Killjoy,Omen,Raze
Astra,Breach,Fade,Jett,Killjoy
Astra,Fade,KAY/O,Killjoy,Raze
Astra,Breach,Chamber,Jett,Sova
Astra,Chamber,KAY/O,Phoenix,Sova
Astra,Chamber,Fade,Phoenix,Sage
KAY/O,Killjoy,Omen,Raze,Sova
Chamber,Fade,KAY/O,Killjoy,Omen
Chamber,KAY/O,Omen,Raze,Sova
Chamber,Fade,KAY/O,Omen,Viper
Chamber,Jett,Omen,Skye,Sova
Jett,Killjoy,Omen,Sage,Sova
KAY/O,Killjoy,Omen,Sage,Sova
Astra,Chamber,KAY/O,Raze,Sova
Astra,Fade,KAY/O,Killjoy,Sova
Chamber,Fade,Jett,Omen,Sage
Chamber,Fade,KAY/O,Neon,Omen
Astra,Breach,Fade,Killjoy,Raze
Astra,Chamber,Fade,KAY/O,Phoenix
Breach,Brimstone,Chamber,Jett,Sage
Breach,Fade,Killjoy,Neon,Omen
Breach,Killjoy,Omen,Raze,Sova
Chamber,Fade,Jett,Omen,Skye
Chamber,Jett,Omen,Reyna,Sova
Cypher,Jett,KAY/O,Omen,Sova
Jett,KAY/O,Omen,Sage,Sova
Jett,Killjoy,Omen,Skye,Sova
Astra,Chamber,Fade,Jett,Sova
Astra,Chamber,Fade,KAY/O,Killjoy
Astra,Chamber,Fade,Raze,Sova
Astra,Chamber,Neon,Skye,Sova
Astra,Fade,KAY/O,Killjoy,Phoenix
Astra,Jett,Killjoy,Phoenix,Sova
Astra,KAY/O,Killjoy,Neon,Sova
Breach,Chamber,Fade,Omen,Phoenix
Brimstone,Chamber,Jett,KAY/O,Sova
Chamber,Fade,Killjoy,Omen,Raze
Chamber,Fade,Omen,Raze,Sova
Chamber,Killjoy,Omen,Sage,Sova
Cypher,Fade,Jett,KAY/O,Omen
Fade,Jett,Killjoy,Omen,Sova
Fade,Killjoy,Omen,Raze,Sage
Astra,Breach,Fade,Jett,Sage
Astra,Breach,Killjoy,Raze,Sova
Astra,Chamber,Fade,Jett,Reyna
Astra,Cypher,Jett,KAY/O,Sova
Astra,KAY/O,Phoenix,Sage,Sova
Astra,Killjoy,Raze,Skye,Sova
Brimstone,Chamber,Neon,Sage,Skye
Brimstone,Fade,Jett,KAY/O,Killjoy
Chamber,Fade,Jett,Omen,Phoenix
Chamber,Fade,Jett,Omen,Reyna
Chamber,Fade,KAY/O,Omen,Sova
Chamber,KAY/O,Omen,Phoenix,Sova
Cypher,Fade,KAY/O,Omen,Raze
Cypher,KAY/O,Killjoy,Omen,Sova
Fade,Jett,KAY/O,Omen,Sage
Fade,Jett,Killjoy,Omen,Reyna
Fade,KAY/O,Omen,Raze,Sage
Killjoy,Neon,Omen,Raze,Sova
Astra,Breach,Chamber,Fade,KAY/O
Astra,Breach,Fade,KAY/O,Neon
Astra,Chamber,Cypher,Phoenix,Sova
Astra,Chamber,Jett,Killjoy,Skye
Astra,Chamber,Phoenix,Raze,Skye
Astra,Fade,Jett,Killjoy,Sova
Astra,Fade,KAY/O,Killjoy,Reyna
Astra,Fade,KAY/O,Phoenix,Sage
Astra,Jett,KAY/O,Phoenix,Sova
Astra,Jett,Killjoy,Sage,Sova
Astra,KAY/O,Phoenix,Reyna,Sova
Breach,Brimstone,Chamber,Phoenix,Sova
Breach,Brimstone,Cypher,Fade,Jett
Breach,Chamber,Fade,Omen,Yoru
Breach,Jett,Omen,Raze,Sova
Breach,Jett,Omen,Reyna,Skye
Brimstone,Chamber,Fade,Jett,KAY/O
Brimstone,Chamber,Fade,KAY/O,Killjoy
Brimstone,Chamber,Jett,KAY/O,Killjoy
Brimstone,Chamber,KAY/O,Raze,Sova
Brimstone,Cypher,Killjoy,Raze,Skye
Brimstone,Fade,Jett,Killjoy,Skye
Brimstone,Fade,Jett,Raze,Sage
Brimstone,Fade,KAY/O,Killjoy,Raze
Brimstone,KAY/O,Killjoy,Sage,Sova
Brimstone,Phoenix,Raze,Sage,Sova
Chamber,Cypher,Fade,KAY/O,Omen
Chamber,Cypher,Omen,Phoenix,Raze
Chamber,Cypher,Omen,Phoenix,Sova
Chamber,Fade,Jett,Omen,Yoru
Chamber,Fade,KAY/O,Omen,Yoru
Chamber,Fade,Neon,Omen,Sage
Chamber,Fade,Omen,Raze,Reyna
Chamber,Fade,Omen,Raze,Yoru
Chamber,Jett,Omen,Sage,Sova
Chamber,Jett,Phoenix,Raze,Yoru
Chamber,KAY/O,Omen,Sage,Sova
Chamber,KAY/O,Omen,Sova,Yoru
Chamber,Killjoy,Omen,Raze,Skye
Cypher,Fade,KAY/O,Omen,Sage
Cypher,Jett,Omen,Phoenix,Sova
Cypher,KAY/O,Omen,Sage,Sova
Fade,Jett,KAY/O,Omen,Phoenix
Fade,Jett,Killjoy,Omen,Phoenix
Fade,Jett,Killjoy,Omen,Raze
Fade,Jett,Killjoy,Omen,Sage
Fade,Jett,Killjoy,Sova,Viper
Jett,Killjoy,Omen,Reyna,Sova
