A1,A2,A3,A4,A5
Chamber,Jett,KAY/O,Sova,Viper
Chamber,Jett,Sage,Sova,Viper
Cypher,Jett,KAY/O,Sova,Viper
Chamber,Jett,Skye,Sova,Viper
Chamber,KAY/O,Neon,Sova,Viper
Chamber,KAY/O,Raze,Sova,Viper
Cypher,Jett,Skye,Sova,Viper
Chamber,Jett,Reyna,Sova,Viper
Chamber,Neon,Skye,Sova,Viper
Chamber,KAY/O,Reyna,Sova,Viper
Breach,Chamber,Neon,Sova,Viper
Chamber,Fade,Neon,Skye,Viper
Chamber,KAY/O,Phoenix,Sova,Viper
Chamber,KAY/O,Neon,Skye,Viper
Cypher,Neon,Skye,Sova,Viper
Chamber,Fade,Jett,Skye,Viper
Chamber,Fade,KAY/O,Sova,Viper
Chamber,KAY/O,Omen,Sova,Viper
Chamber,KAY/O,Sova,Viper,Yoru
Chamber,Neon,Sova,Viper,Yoru
Cypher,Jett,KAY/O,Phoenix,Viper
Cypher,Jett,Reyna,Sova,Viper
Jett,Killjoy,Reyna,Sova,Viper
Breach,Chamber,Fade,Neon,Viper
Chamber,Fade,Neon,Sage,Viper
Chamber,Jett,Neon,Sova,Viper
Chamber,KAY/O,Reyna,Skye,Viper
Chamber,Neon,Reyna,Sova,Viper
Cypher,KAY/O,Neon,Sova,Viper
Astra,Breach,Fade,Neon,Yoru
Astra,Chamber,Jett,Sova,Viper
Astra,Cypher,Jett,Sova,Viper
Astra,Jett,Skye,Sova,Viper
Breach,Cypher,Neon,Sova,Viper
Chamber,Fade,Jett,Reyna,Viper
Chamber,Fade,Neon,Viper,Yoru
Chamber,Jett,KAY/O,Skye,Viper
Chamber,Omen,Reyna,Sova,Viper
Chamber,Skye,Sova,Viper,Yoru
Cypher,KAY/O,Omen,Sova,Viper
Jett,KAY/O,Reyna,Sova,Viper
Jett,Neon,Phoenix,Raze,Reyna
