A1,A2,A3,A4,A5
Astra,Chamber,Fade,KAY/O,Viper
Astra,Chamber,Fade,Raze,Viper
Chamber,Cypher,Neon,Omen,Skye
Astra,Chamber,Fade,Neon,Phoenix
Astra,Chamber,Fade,Skye,Viper
Astra,Fade,Jett,KAY/O,Raze
Astra,Chamber,Fade,Neon,Viper
Astra,Fade,KAY/O,Raze,Sage
Astra,Chamber,Cypher,Fade,KAY/O
Astra,Chamber,Fade,Reyna,Sage
Breach,Brimstone,Chamber,Killjoy,Yoru
Astra,Chamber,Fade,KAY/O,Yoru
Astra,Chamber,Fade,Killjoy,Viper
Astra,Chamber,Fade,Neon,Skye
Astra,Chamber,KAY/O,Raze,Viper
Astra,Cypher,Fade,Raze,Viper
Astra,Fade,KAY/O,Reyna,Viper
Brimstone,Chamber,Fade,Sage,Viper
Fade,Killjoy,Neon,Skye,Viper
Astra,Breach,Cypher,Fade,Neon
Astra,Breach,Fade,Neon,Sage
Astra,Chamber,Cypher,Fade,Reyna
Astra,Chamber,Cypher,Fade,Skye
Astra,Chamber,Cypher,Fade,Viper
Astra,Chamber,Fade,Jett,Neon
Astra,Chamber,Fade,Jett,Viper
Astra,Chamber,Fade,Neon,Sage
Astra,Chamber,Fade,Omen,Raze
Astra,Chamber,Fade,Phoenix,Skye
Astra,Chamber,Fade,Phoenix,Viper
Astra,Chamber,Fade,Sage,Skye
Astra,Chamber,Neon,Skye,Viper
Astra,Cypher,Fade,Jett,KAY/O
Astra,Cypher,Fade,KAY/O,Raze
Astra,Cypher,Fade,Phoenix,Sage
Astra,Cypher,Fade,Reyna,Skye
Astra,Fade,Jett,Skye,Viper
Astra,Fade,KAY/O,Killjoy,Neon
Astra,Fade,KAY/O,Phoenix,Viper
Astra,Fade,Killjoy,Viper,Yoru
Astra,Fade,Raze,Sage,Viper
Astra,Killjoy,Neon,Skye,Viper
Breach,Cypher,Fade,Neon,Viper
Brimstone,Chamber,Fade,Neon,Skye
Brimstone,Chamber,Sage,Skye,Viper
Brimstone,Fade,Killjoy,Raze,Reyna
Chamber,Fade,KAY/O,Neon,Viper
Chamber,Fade,Neon,Phoenix,Viper
Chamber,Fade,Neon,Raze,Viper
Jett,Killjoy,Sage,Skye,Viper
