A1,A2,A3,A4,A5
Breach,Cypher,Omen,Raze,Sage
Breach,Chamber,Omen,Raze,Sage
Cypher,Omen,Raze,Sage,Skye
Cypher,Jett,Omen,Raze,Sage
Astra,Chamber,Raze,Skye,Viper
Astra,Raze,Sage,Skye,Viper
Chamber,Omen,Raze,Skye,Viper
Astra,Breach,Chamber,KAY/O,Neon
Breach,Chamber,Omen,Raze,Skye
Astra,Breach,Chamber,KAY/O,Raze
Astra,Chamber,Raze,Sage,Skye
Astra,Cypher,KAY/O,Raze,Sage
Breach,Cypher,Fade,Omen,Raze
Astra,Breach,Chamber,Raze,Sage
Astra,Breach,Chamber,Raze,Skye
Breach,Chamber,Fade,Omen,Raze
Cypher,Omen,Raze,Reyna,Sage
Astra,Breach,Cypher,KAY/O,Neon
Astra,Breach,Cypher,Omen,Raze
Astra,Breach,Killjoy,Raze,Sage
Astra,Fade,Killjoy,Raze,Viper
Astra,KAY/O,Killjoy,Raze,Skye
Breach,Brimstone,Chamber,Omen,Raze
Breach,Chamber,Cypher,Omen,Raze
Breach,Chamber,Killjoy,Omen,Raze
Breach,Cypher,Omen,Raze,Skye
Breach,Jett,Killjoy,Omen,Sova
Chamber,Fade,KAY/O,Omen,Raze
Chamber,Omen,Raze,Sage,Skye
Chamber,Omen,Raze,Sage,Viper
Astra,Breach,Chamber,Cypher,Raze
Astra,Breach,Chamber,Fade,Raze
Astra,Breach,Chamber,Jett,Neon
Astra,Breach,Chamber,Omen,Raze
Astra,Breach,Chamber,Raze,Viper
Astra,Breach,Cypher,Neon,Raze
Astra,Chamber,Fade,KAY/O,Raze
Astra,Chamber,KAY/O,Raze,Sage
Astra,Chamber,Neon,Raze,Skye
Astra,Killjoy,Raze,Sage,Skye
Breach,Brimstone,Chamber,Raze,Sage
Breach,Chamber,Jett,Omen,Sage
Breach,Chamber,KAY/O,Omen,Raze
Breach,Chamber,Omen,Raze,Viper
Breach,Chamber,Omen,Reyna,Sage
Breach,Cypher,Omen,Raze,Reyna
Brimstone,Raze,Sage,Skye,Viper
Chamber,Cypher,Omen,Raze,Skye
Chamber,Fade,Omen,Raze,Skye
Chamber,Fade,Omen,Reyna,Sage
Chamber,Jett,Omen,Raze,Sage
Chamber,KAY/O,Omen,Raze,Skye
Chamber,KAY/O,Omen,Reyna,Yoru
Chamber,Killjoy,Omen,Raze,Sage
Chamber,Omen,Raze,Reyna,Sage
Cypher,Jett,Neon,Omen,Skye
Cypher,KAY/O,Omen,Raze,Sage
Cypher,Omen,Raze,Skye,Viper
Fade,Killjoy,Omen,Raze,Reyna
Fade,Killjoy,Raze,Sage,Viper
Jett,Killjoy,Omen,Raze,Sage
Jett,Killjoy,Omen,Sage,Skye
Killjoy,Omen,Raze,Sage,Skye
Omen,Raze,Skye,Sova,Viper
Astra,Breach,Cypher,Raze,Sage
Astra,Breach,Cypher,Jett,Sage
Brimstone,Chamber,Raze,Reyna,Sage
Astra,KAY/O,Killjoy,Neon,Omen
Astra,Breach,Fade,Jett,Sage
Astra,KAY/O,Raze,Sage,Viper
Fade,Jett,KAY/O,Omen,Sage
Astra,Chamber,Sage,Skye,Viper
Breach,Chamber,Neon,Omen,Raze
Astra,Chamber,Fade,Raze,Viper
Astra,Chamber,Cypher,Raze,Skye
Cypher,Neon,Omen,Raze,Sage
KAY/O,Omen,Raze,Sage,Viper
Brimstone,Chamber,Killjoy,Raze,Sage
Killjoy,Omen,Reyna,Sage,Skye
Cypher,Fade,Omen,Raze,Skye
Chamber,Fade,Omen,Raze,Sage
Astra,Breach,Chamber,Reyna,Sage
Astra,Fade,Raze,Sage,Viper
Astra,Cypher,Raze,Sage,Skye
Cypher,Fade,Omen,Raze,Sage
Breach,Jett,Omen,Sage,Sova
Breach,Jett,Omen,Raze,Sage
Astra,Breach,Chamber,KAY/O,Sage
Chamber,KAY/O,Omen,Raze,Sage
Breach,Chamber,Omen,Raze,Yoru
Cypher,Jett,Omen,Skye,Viper
Astra,Breach,Fade,Killjoy,Raze
Brimstone,Fade,KAY/O,Killjoy,Raze
Breach,Brimstone,Chamber,KAY/O,Raze
Fade,Omen,Raze,Sage,Skye
Astra,Breach,Cypher,Fade,Raze
Astra,Breach,Cypher,Fade,Neon
Breach,Cypher,Neon,Omen,Skye
Chamber,Fade,Omen,Raze,Viper
Breach,Cypher,KAY/O,Omen,Raze
Breach,Fade,Killjoy,Omen,Raze
Breach,Killjoy,Omen,Raze,Sage
Astra,Cypher,KAY/O,Raze,Viper
Astra,Breach,Chamber,Cypher,Neon
Cypher,Jett,Omen,Raze,Skye
Astra,Breach,Chamber,Jett,Sage
Brimstone,Fade,Killjoy,Neon,Viper
Breach,Brimstone,Cypher,Raze,Sage
Chamber,Cypher,KAY/O,Omen,Raze
Astra,Chamber,Cypher,Raze,Sage
Chamber,Cypher,Omen,Raze,Sage
Breach,Chamber,Neon,Omen,Sage
Astra,Breach,Neon,Raze,Viper
